tool_name,model_name,model_id_string,performance_score,avg_total_tokens,db_api_input_usd_per_m,db_api_output_usd_per_m,pulled_api_input_usd_per_m,pulled_api_output_usd_per_m,api_pricing_unit,api_matched_model_id,api_source_url,api_confidence,api_notes,usage_price_usd,usage_unit,usage_source_url,usage_confidence,usage_notes,api_blended_usd_per_m,estimated_avg_call_cost_usd_blended,estimated_api_performance_per_dollar,estimated_api_cost_per_score_point_usd,subscription_plan_name,subscription_effective_monthly_usd,subscription_monthly_usd,subscription_annualized_monthly_usd,subscription_annual_usd,subscription_one_time_usd,subscription_source_url,subscription_confidence,subscription_notes,subscription_performance_per_monthly_dollar,subscription_cost_per_score_point_usd,audit_notes
AI21 Jamba,Jamba Large 1.7,jamba-large-1.7,6.17,,2,8,2,8,per 1M tokens,ai21/jamba-large-1.7,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,5,,,,Usage-based API,,,,,,https://www.ai21.com,medium,No fixed consumer subscription identified.,,,"No average token usage, so API price-per-performance is blank."
Amazon Nova,Nova Premier,nova-premier-v1,6.88,,2.5,12.5,2.5,12.5,per 1M tokens,nova-premier-v1,https://aws.amazon.com/nova/pricing/,high,,,,,,,7.5,,,,Usage-based API,,,,,,https://aws.amazon.com/ai/generative-ai/nova/,medium,No fixed consumer subscription identified.,,,"No average token usage, so API price-per-performance is blank."
Amazon Nova,Nova Pro,nova-pro-v1,6.51,,0.8,3.2,0.8,3.2,per 1M tokens,nova-pro-v1,https://aws.amazon.com/nova/pricing/,high,,,,,,,2,,,,Usage-based API,,,,,,https://aws.amazon.com/ai/generative-ai/nova/,medium,No fixed consumer subscription identified.,,,"No average token usage, so API price-per-performance is blank."
ChatGPT,GPT-5.5,gpt-5.5,6.29,414.4,5,30,5,30,per 1M tokens,gpt-5.5,https://openai.com/api/pricing/,high,,,,,,,17.5,0.00725200,867.35,0.00115294,ChatGPT Plus,20,20,,,,https://chatgpt.com/pricing/,medium,Consumer plan; model access has usage limits and can vary by account/region.,0.3145,3.1797,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
ChatGPT,GPT-5.4,gpt-5.4,7.24,392.7,2.5,15,2.5,15,per 1M tokens,gpt-5.4,https://openai.com/api/pricing/,high,,,,,,,8.75,0.00343612,2107.02,0.00047460,ChatGPT Plus,20,20,,,,https://chatgpt.com/pricing/,medium,Consumer plan; model access has usage limits and can vary by account/region.,0.3620,2.7624,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
ChatGPT,GPT-5.4 Nano,gpt-5.4-nano,7.15,396.1,0.2,1.25,0.2,1.25,per 1M tokens,openai/gpt-5.4-nano,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,0.725,0.00028717,24897.93,0.00004016,ChatGPT Plus,20,20,,,,https://chatgpt.com/pricing/,medium,Consumer plan; model access has usage limits and can vary by account/region.,0.3575,2.7972,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Claude,Claude Fable 5,claude-fable-5,,,10,50,10,50,per 1M tokens,anthropic/claude-fable-5,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,30,,,,Claude Pro,20,20,16.6667,200,,https://support.claude.com/en/articles/11049762-choose-a-claude-plan,high,Max plans are also available at higher monthly prices.,,,"Unscored/unavailable locally; price present but performance value cannot be calculated. No average token usage, so API price-per-performance is blank."
Claude,Claude Opus 4.8,claude-opus-4-8,7.59,584.7,5,25,5,25,per 1M tokens,anthropic/claude-opus-4.8,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,15,0.00877050,865.40,0.00115553,Claude Pro,20,20,16.6667,200,,https://support.claude.com/en/articles/11049762-choose-a-claude-plan,high,Max plans are also available at higher monthly prices.,0.3795,2.6350,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Claude,Claude Sonnet 4.6,claude-sonnet-4-6,7.33,432.1,3,15,3,15,per 1M tokens,anthropic/claude-sonnet-4.6,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,9,0.00388890,1884.85,0.00053055,Claude Pro,20,20,16.6667,200,,https://support.claude.com/en/articles/11049762-choose-a-claude-plan,high,Max plans are also available at higher monthly prices.,0.3665,2.7285,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Claude,Claude Haiku 4.5,claude-haiku-4-5,7.21,434.5,1,5,1,5,per 1M tokens,anthropic/claude-haiku-4.5,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,3,0.00130350,5531.26,0.00018079,Claude Pro,20,20,16.6667,200,,https://support.claude.com/en/articles/11049762-choose-a-claude-plan,high,Max plans are also available at higher monthly prices.,0.3605,2.7739,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Cohere Command,Command A,command-a,6.93,,2.5,10,2.5,10,per 1M tokens,command-a,https://docs.cohere.com/docs/command-a,high,,,,,,,6.25,,,,Usage-based API,,,,,,https://cohere.com,medium,No fixed consumer subscription identified.,,,"No average token usage, so API price-per-performance is blank."
Cursor,Cursor,cursor,,,,,,,,,,,,,,,,,,,,,Cursor Pro,20,20,,,,https://cursor.com/pricing,high,Includes higher limits and usage pools; model-specific cost attribution is not exposed.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
DeepGram,DeepGram,deepgram,,,,,,,,,,,,0.0048,per audio minute,https://deepgram.com/pricing,high,Nova-3 monolingual pay-as-you-go pre-recorded rate; streaming and multilingual rates differ.,,,,,Usage-based API,,,,,,https://deepgram.com,medium,No fixed consumer subscription identified.,,,Unscored/unavailable locally; price present but performance value cannot be calculated.
DeepL,DeepL,deepl,,,,,,,,,,,,,,,,,,,,,DeepL Pro Individual,8.74,,8.74,,,https://www.deepl.com/en/pro,medium,Official page is region-sensitive; amount is the US annualized price surfaced by search.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
DeepSeek,DeepSeek V4 Pro,deepseek-v4-pro,7.11,682.7,1.74,3.48,0.435,0.87,per 1M tokens,deepseek/deepseek-v4-pro,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,0.6525,0.00044546,15960.97,0.00006265,Free app; API pay-as-you-go,0,0,,,,https://www.deepseek.com,medium,,,0.0000,"Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored. Free subscription/app value is not finite, so subscription performance per dollar is blank."
DeepSeek,DeepSeek V4 Flash,deepseek-v4-flash,6.94,472.3,0.14,0.28,0.09,0.18,per 1M tokens,deepseek/deepseek-v4-flash,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,0.135,0.00006376,108844.82,0.00000919,Free app; API pay-as-you-go,0,0,,,,https://www.deepseek.com,medium,,,0.0000,"Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored. Free subscription/app value is not finite, so subscription performance per dollar is blank."
GitHub Copilot,GitHub Copilot,github-copilot,,,,,,,,,,,,,,,,,,,,,GitHub Copilot Pro,10,10,,,,https://github.com/features/copilot/plans,high,Higher tiers include more credits and premium model access.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
Google Gemini,Gemini 3.1 Pro (preview),gemini-3.1-pro-preview,6.06,434,2,12,2,12,per 1M tokens,gemini-3.1-pro-preview,https://ai.google.dev/gemini-api/docs/pricing,high,Standard tier for prompts up to 200k tokens.,,,,,,7,0.00303800,1994.73,0.00050132,Google AI Pro,19.99,19.99,,,,https://gemini.google/subscriptions/,high,Consumer Gemini subscription; API billing is separate.,0.3032,3.2987,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Google Gemini,Gemini 3.5 Flash,gemini-3.5-flash,5.99,432.3,1.5,9,1.5,9,per 1M tokens,gemini-3.5-flash,https://ai.google.dev/gemini-api/docs/pricing,high,,,,,,,5.25,0.00226958,2639.26,0.00037889,Google AI Pro,19.99,19.99,,,,https://gemini.google/subscriptions/,high,Consumer Gemini subscription; API billing is separate.,0.2996,3.3372,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Google Gemini,Gemini 3.1 Flash-Lite,gemini-3.1-flash-lite,7.03,394.7,0.25,1.5,0.25,1.5,per 1M tokens,gemini-3.1-flash-lite,https://ai.google.dev/gemini-api/docs/pricing,high,,,,,,,0.875,0.00034536,20355.42,0.00004913,Google AI Pro,19.99,19.99,,,,https://gemini.google/subscriptions/,high,Consumer Gemini subscription; API billing is separate.,0.3517,2.8435,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Grammarly,Grammarly,grammarly,,,,,,,,,,,,,,,,,,,,,Grammarly Pro,30,30,12,144,,https://support.grammarly.com/hc/en-us/articles/115000090011-How-much-does-Grammarly-Pro-cost,high,,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
Jasper,Jasper,jasper,,,,,,,,,,,,,,,,,,,,,Jasper Pro,69,69,59,,,https://www.jasper.ai/pricing,high,,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
Llama,Llama 4 Maverick,llama-4-maverick,6.58,413.6,,,0.15,0.6,per 1M tokens,meta-llama/llama-4-maverick,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,0.375,0.00015510,42424.24,0.00002357,Open model/local,0,0,,,,https://www.llama.com,medium,Hosted API costs vary by provider; OpenRouter token prices are listed separately.,,0.0000,"Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored. Free subscription/app value is not finite, so subscription performance per dollar is blank."
Llama,Llama 4 Scout,llama-4-scout,6.34,409.8,,,0.1,0.3,per 1M tokens,meta-llama/llama-4-scout,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,0.2,0.00008196,77354.81,0.00001293,Open model/local,0,0,,,,https://www.llama.com,medium,Hosted API costs vary by provider; OpenRouter token prices are listed separately.,,0.0000,"Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored. Free subscription/app value is not finite, so subscription performance per dollar is blank."
LM Studio,LM Studio,lm-studio,,,,,,,,,,,,,,,,,,,,,Free for personal use,0,0,,,,https://lmstudio.ai,medium,Hardware/electricity costs excluded.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
MacWhisper,MacWhisper,macwhisper,,,,,,,,,,,,,,,,,,,,,Free tier; Pro lifetime license,,,,,60,https://macwhisper.helpscoutdocs.com/article/40-macwhisper-whisper-transcription-difference,low,One-time price is approximate from existing catalogue label; current storefront is dynamic.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
Microsoft Copilot,Microsoft Copilot,microsoft-copilot,,,,,,,,,,,,,,,,,,,,,Microsoft 365 Premium,19.99,19.99,16.6658,199.99,,https://www.microsoft.com/en-us/microsoft-365-copilot/pricing/individuals,high,Current consumer bundle replacing/overlapping older Copilot Pro positioning.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
MiniMax,MiniMax M3,minimax-m3,5.86,,0.3,1.2,0.3,1.2,per 1M tokens,minimax/minimax-m3,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,0.75,,,,Free app; API via OpenRouter,0,0,,,,https://www.minimax.io,medium,,,0.0000,"No average token usage, so API price-per-performance is blank. Free subscription/app value is not finite, so subscription performance per dollar is blank."
Mistral Le Chat,Mistral Large 3,mistral-large-3-25-12,7.4,401.3,0.5,1.5,0.5,1.5,per 1M tokens,mistral-large-3,https://mistral.ai/pricing/,high,,,,,,,1,0.00040130,18440.07,0.00005423,Mistral Pro,14.99,14.99,,,,https://mistral.ai/news/all-new-le-chat/,medium,Le Chat is now Vibe; pricing page says Pro has higher limits.,0.4937,2.0257,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Mistral Le Chat,Mistral Medium 3.5,mistral-medium-3.5,7.1,402.7,,,1.5,7.5,per 1M tokens,mistral-medium-3.5,https://mistral.ai/pricing/,high,,,,,,,4.5,0.00181215,3918.00,0.00025523,Mistral Pro,14.99,14.99,,,,https://mistral.ai/news/all-new-le-chat/,medium,Le Chat is now Vibe; pricing page says Pro has higher limits.,0.4736,2.1113,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Moonshot Kimi,Kimi K2.7 Code,kimi-k2.7-code,6.96,,0.74,3.5,0.612,3.069,per 1M tokens,moonshotai/kimi-k2.7-code,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,1.8405,,,,Free app; API via OpenRouter,0,0,,,,https://kimi.moonshot.cn,medium,,,0.0000,"No average token usage, so API price-per-performance is blank. Free subscription/app value is not finite, so subscription performance per dollar is blank."
NotebookLM,NotebookLM,notebooklm,,,,,,,,,,,,,,,,,,,,,Free; NotebookLM Pro via Google AI Pro,0,0,,,,https://notebooklm.google/plans,medium,Free tier exists; paid higher limits are bundled through Google AI plans.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
Ollama,Ollama,ollama,,,,,,,,,,,,,,,,,,,,,Free/local,0,0,,,,https://ollama.com,high,Hardware/electricity costs excluded.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
Otter.ai,Otter.ai,otter-ai,,,,,,,,,,,,,,,,,,,,,Otter Pro,16.99,16.99,8.33,,,https://otter.ai/pricing,high,,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
Perplexity,Sonar Pro,sonar-pro,7.24,,3,15,3,15,per 1M tokens,sonar-pro,https://docs.perplexity.ai/docs/getting-started/pricing,high,Token pricing only; search request fees can apply.,,,,,,9,,,,Perplexity Pro,20,20,16.6667,200,,https://www.perplexity.ai/enterprise/pricing,high,Consumer Pro; API billing is separate.,0.3620,2.7624,"No average token usage, so API price-per-performance is blank."
Perplexity,Sonar Deep Research,sonar-deep-research,3.9,,2,8,2,8,per 1M tokens,perplexity/sonar-deep-research,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,5,,,,Perplexity Pro,20,20,16.6667,200,,https://www.perplexity.ai/enterprise/pricing,high,Consumer Pro; API billing is separate.,0.1950,5.1282,"No average token usage, so API price-per-performance is blank."
Poe,Poe,poe,,,,,,,,,,,,,,,,,,,,,Poe 10k points/day,4.17,,4.17,49.99,,https://poe.com/subscription_plans,medium,Point-based pricing; higher point tiers are often required for heavy frontier-model use.,,,Unscored/unavailable locally; price present but performance value cannot be calculated. No API token pricing match found.
Qwen,Qwen3.7 Max,qwen3.7-max,7.36,,1.25,3.75,1.25,3.75,per 1M tokens,qwen/qwen3.7-max,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,2.5,,,,Free app; API via OpenRouter,0,0,,,,https://chat.qwen.ai,medium,,,0.0000,"No average token usage, so API price-per-performance is blank. Free subscription/app value is not finite, so subscription performance per dollar is blank."
Qwen,Qwen3 Coder Plus,qwen3-coder-plus,7.08,,0.65,3.25,0.65,3.25,per 1M tokens,qwen/qwen3-coder-plus,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,1.95,,,,Free app; API via OpenRouter,0,0,,,,https://chat.qwen.ai,medium,,,0.0000,"No average token usage, so API price-per-performance is blank. Free subscription/app value is not finite, so subscription performance per dollar is blank."
Whisper,Whisper large-v3,large-v3,7.5,,,,,,,,,,,,,,,,,,,,Open source/local,0,0,,,,https://github.com/openai/whisper,high,Hardware/electricity costs excluded.,,0.0000,"Free subscription/app value is not finite, so subscription performance per dollar is blank. No API token pricing match found."
Whisper,Whisper large-v3-turbo,large-v3-turbo,7.48,,,,,,,,,,,,,,,,,,,,Open source/local,0,0,,,,https://github.com/openai/whisper,high,Hardware/electricity costs excluded.,,0.0000,"Free subscription/app value is not finite, so subscription performance per dollar is blank. No API token pricing match found."
Whisper,Whisper small,small,7.49,,,,,,,,,,,,,,,,,,,,Open source/local,0,0,,,,https://github.com/openai/whisper,high,Hardware/electricity costs excluded.,,0.0000,"Free subscription/app value is not finite, so subscription performance per dollar is blank. No API token pricing match found."
Whisper,Whisper tiny,tiny,7.17,,,,,,,,,,,,,,,,,,,,Open source/local,0,0,,,,https://github.com/openai/whisper,high,Hardware/electricity costs excluded.,,0.0000,"Free subscription/app value is not finite, so subscription performance per dollar is blank. No API token pricing match found."
xAI Grok,Grok 4.3,grok-4.3,7.41,,1.25,2.5,1.25,2.5,per 1M tokens,grok-4.3,https://docs.x.ai/developers/models,high,,,,,,,1.875,,,,SuperGrok,30,30,,,,https://x.ai/pricing,high,,0.2470,4.0486,"No average token usage, so API price-per-performance is blank."
Z.ai GLM,GLM 5.2,glm-5.2,6.07,,1.2,4.1,1.2,4.1,per 1M tokens,z-ai/glm-5.2,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,2.65,,,,Free app; API via OpenRouter,0,0,,,,https://z.ai,medium,,,0.0000,"No average token usage, so API price-per-performance is blank. Free subscription/app value is not finite, so subscription performance per dollar is blank."
